Level,weight,persona,x
0.8,1,persona1,Presentations
1,2,persona1,Presentations
1.5,1,persona1,Presentations
3,1,persona1,Presentations
0.5,1,persona2,Presentations
1.5,1,persona2,Presentations
2.5,2,persona2,Presentations
3,1,persona2,Presentations
0.3,2,persona3,Presentations
1.5,1,persona3,Presentations
2,3,persona3,Presentations
0,1,persona4,Presentations
0.5,1,persona4,Presentations
1,1,persona4,Presentations
2,1,persona4,Presentations
3.5,1,persona4,Presentations
0.8,1,persona1,Homework
1,1,persona1,Homework
1.2,2,persona1,Homework
1.7,1,persona1,Homework
0.5,1,persona2,Homework
1,1,persona2,Homework
1.2,1,persona2,Homework
2.2,2,persona2,Homework
0.5,1,persona3,Homework
1,2,persona3,Homework
1.2,1,persona3,Homework
2,3,persona3,Homework
1,1,persona4,Homework
1.5,1,persona4,Homework
1.7,1,persona4,Homework
2,1,persona4,Homework
4,1,persona4,Homework
0.8,1,persona1,Projects
1.5,3,persona1,Projects
2,1,persona1,Projects
,,persona1,Projects
1,3,persona2,Projects
1.5,1,persona2,Projects
3,1,persona2,Projects
0.8,1,persona3,Projects
1,1,persona3,Projects
1.7,1,persona3,Projects
3,2,persona3,Projects
3.7,2,persona3,Projects
1.7,1,persona4,Projects
2,1,persona4,Projects
2.5,1,persona4,Projects
3,1,persona4,Projects
4,1,persona4,Projects
1,2,persona1,Quizes
1.2,1,persona1,Quizes
1.5,1,persona1,Quizes
2,1,persona1,Quizes
1,1,persona2,Quizes
1.8,1,persona2,Quizes
2,1,persona2,Quizes
2.5,1,persona2,Quizes
3,1,persona2,Quizes
1,3,persona3,Quizes
1.5,2,persona3,Quizes
1.8,1,persona3,Quizes
2,1,persona3,Quizes
0.5,1,persona4,Quizes
2,2,persona4,Quizes
2.5,2,persona4,Quizes
1.5,1,persona1,Midterm/Finals
2.5,1,persona1,Midterm/Finals
3,2,persona1,Midterm/Finals
4,1,persona1,Midterm/Finals
3,2,persona2,Midterm/Finals
4,3,persona2,Midterm/Finals
2.5,1,persona3,Midterm/Finals
2.8,1,persona3,Midterm/Finals
3,2,persona3,Midterm/Finals
3.5,1,persona3,Midterm/Finals
3.8,1,persona3,Midterm/Finals
4,1,persona3,Midterm/Finals
2.5,1,persona4,Midterm/Finals
3,1,persona4,Midterm/Finals
3.8,1,persona4,Midterm/Finals
4,2,persona4,Midterm/Finals
